genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
TOBG_CPC-1232.fna	0.8999730734019064	0.0581937637998815	0.0277120963421604	1764055	131	58	0	5.98694672774756	0.0045414940533636	0.026642593343178	0.5482725301550275	0.0176901850630997	0.9743611566203536	0.9861699185089045		False	14756.0	43.751965302249936	0.1796502829529344	0.88759468299187	1205	650	689	3212	9662	10399	0.9436185287535104	3901	21916
TOBG_CPC-20.fna	1.4612973022999023	0.6814734470452792	0.0283036847873326	2506802	183	164	1	1.4419601750252191	0.0009174599590973	0.0352600644167349	0.7248188079034441	8.938994412128145e-06	0.9860391446996266	0.9942414300260212		False					1234	509	489	2732	22759	25227	0.9634400343503132	3221	53738
TOBG_CPC-27.fna	1.102758956591772	0.4620036076045122	0.0037582617538736	3496503	128	112	0	1.5516128971100631	0.0008328412072097	0.0428004780776678	0.622330633780591	0.0	0.9647515569454468	0.9657137893245664		False					5275	5131	5480	370	23668	27657	0.9442687698272632	5850	58467
TOBG_CPC-289.fna	3.1436115254433097	0.2890472512617075	0.0302470662209815	1073347	31	31	0	26.2231586817673	0.025384761216948	0.0176243097525776	0.9377009422042266	0.0283823762239389	0.9459745202727704	0.9666966220859544		False	9078.0	64.03271645736946	0.1708368442005221	0.8247777550095442	1022	630	654	1226	20439	24646	0.9567068335223092	1880	54283
TOBG_CPC-58.fna	0.9330066297761226	0.5339285609902611	0.0265446623248417	2908243	107	101	1	1.132780022916222	0.0006667055552852	0.0099957259417455	0.5612584896822118	0.0	0.9750601995184036	0.9866529067767458		False					725	388	424	829	16823	18361	0.953029874820184	1253	37751
TOBG_EAC-35.fna	1.595064572754059	0.7572962161898592	0.003767195066459	2296944	72	70	1	1.385775986848374	0.0009172411867834	0.032615509999373	0.7554760494834604	0.0	0.9862646163703348	0.9876795344118746		False					1029	923	1255	283	22649	22810	0.9759499277810774	1538	45904
TOBG_IN-32.fna	1.185427477699346	0.6640893012266949	0.0068068054771702	3934638	203	202	1	1.1808862622779792	0.0005984226643885	0.0124842488686379	0.6489169461349982	0.0	0.9961116426782842	0.9983102949858512		False					191	83	197	299	28723	29041	0.9849371688485978	496	58867
TOBG_IN-47.fna	1.065617887303693	0.4025497871786316	0.0035730644159925	2211714	208	190	0	1.6910695368831254	0.0011479429147788	0.0563011311589111	0.6097394142871575	0.0	0.9623440034692664	0.9633317807295096		False					4689	4566	4603	297	14608	17591	0.9383165389396206	4900	38188
TOBG_MED-1001.fna	8.835368782862027	0.9888133196355366	0.0103998249595801	1517519	32	32	8	5.314934459948887	0.0043236320159467	0.8588340574319003	0.9995909326048864	0.0007061008566486	0.9960484831930098	0.9991628922647716	1.876702253715547	False	7093.0	44.03764274636966	0.4429414627974039	0.973589059221422	5150	1091	4099	22263	81707	83255	0.9820482531673288	26362	168376
TOBG_MED-1076.fna	2.657212756283964	0.9222043553594356	0.0034857571530321	1524237	28	28	2	1.7519619148564185	0.0014216667805794	0.1343071976339637	0.9042791239528416	0.0	0.9982756599386468	0.999487094316028		False	257.0	40.83268482490272	0.35704855681072	0.9331346809053132	353	105	124	701	24720	25007	0.9902442127500368	825	51927
TOBG_MED-1093.fna	3.643463874700754	0.9525901788155056	0.004697288186764	2110723	34	34	3	2.252127286995335	0.001552666257803	0.3075898637575845	0.959932053415743	0.0	0.9977096191375414	0.9991220463405506		False	145.0	22.151724137931037	0.440724060264775	0.9835069444444444	1487	570	996	2874	46894	47349	0.9892630013391756	3870	95401
TOBG_MED-1105.fna	2.464275124408041	0.858537421251214	0.0100451641977232	1861616	49	49	2	2.1614643342624325	0.001588361219123	0.126242468908733	0.8865002829314963	0.0	0.9936727442929176	0.9975448375635596		False					1487	577	996	2751	27990	28555	0.9828615156078108	3747	58332
TOBG_MED-1153.fna	1.0948917360291175	0.6111981733199324	0.028480408581237	1024810	55	55	1	1.4649898140753466	0.0014549783595358	0.0163874279134668	0.619697923124988	0.0	0.976539240204835	0.9892818863879956		False	192.0	36.703125	0.1152821954240543	0.7379269925312312	394	180	169	718	6888	7726	0.981043259620749	887	19989
TOBG_MED-1155.fna	1.442150343574261	0.7417032364234778	0.0093649860782882	1910504	80	80	1	1.3655928288733652	0.0009921414151294	0.0250033499013872	0.7201268329829327	0.0	0.9901609830643304	0.9965040088760492		False	61.0	37.39344262295082	0.0917161840238217	0.8365835715937223	470	167	173	650	16842	17129	0.9919321765163188	823	35030
TOBG_MED-1227.fna	0.974679035621956	0.5963287826577915	0.0159865916587505	2077567	86	86	1	1.083804580864452	0.0007550553602015	0.0075944602508606	0.5771093265128198	0.0	0.9878311573076436	0.9939155786538216		False	17.0	19.235294117647054	0.1915119775673735	0.8161591909491069	192	96	138	270	12403	12755	0.9796607007186526	408	26151
TOBG_MED-1269.fna	3.0861196596060068	0.9462557592357388	0.001991867257188	1932114	25	25	3	1.8375332601803656	0.0013236757671646	0.2054832168288206	0.9344566589294936	0.0	0.9993602289070744	0.9998438354025142		False					254	62	137	584	36502	36598	0.9896786357701384	721	73409
TOBG_MED-581.fna	2.6767767550815176	0.9044310350165904	0.012233588089136	2357711	124	124	2	1.9185336399760369	0.0012560890401758	0.1448120656009154	0.9059185022255551	0.0	0.9942066339606064	0.9981665080178664		False					1978	626	1434	4872	39026	39473	0.9802283200442368	6306	79501
TOBG_MED-582.fna	1.1005009784775508	0.6186731753130545	0.0137443261673475	1971941	84	84	1	1.339721678248596	0.0009581326821647	0.0216213365410019	0.6215768874513494	0.0	0.9913687963223566	0.9966225724739656		False					368	144	172	694	13251	13389	0.9861451943678562	866	27388
TOBG_MED-585.fna	1.4676528414482353	0.7486517205642651	0.0129414484235837	2035001	82	82	1	1.29851502372416	0.0009139487522972	0.02356018498271	0.7263587833690779	0.0	0.9935968297006988	0.9976848472207738		False					307	111	180	655	18231	18649	0.9825174810824	835	38247
TOBG_MED-587.fna	3.3570747784383497	0.950734855349526	0.0014948841745356	3619760	15	15	3	2.003742473870881	0.001053615421648	0.2574062921298649	0.9484032725161312	0.0	0.999843305439555	0.9999517037313698		False	169.0	36.17751479289941	0.2886085881914867	0.8603328434199821	146	45	77	451	76415	76681	0.9943161935335004	528	154027
TOBG_MED-589.fna	2.004696303958952	0.8324270079577694	0.0036957189076721	2909735	87	87	2	1.6744138957351145	0.000984551862496	0.0675305483145372	0.829692020420569	0.0	0.997882908557935	0.9991551990880222		False	113.0	30.27433628318584	0.6331443646600795	0.9848853753554274	416	166	207	778	35664	36008	0.9906477580968556	985	73320
TOBG_MED-630.fna	29.59808176164239	0.9965915792323624	0.0240327376643284	1285346	63	63	30	9.735591617333425	0.0086296195240555	0.986547591076644	0.9999999999955366	0.0138089554029629	0.99627382093048	0.9995055419520448	1.488445824758992	False	175708.0	32.0499066633278	0.1782949350135848	0.8943652265168357	4725	627	2156	66280	231546	235691	0.9770491271819688	68436	479128
TOBG_MED-648.fna	2.028110385109719	0.7004367223616653	0.0356300305924482	2229105	113	113	1	2.3124871556363726	0.0015567790181268	0.1265781558069269	0.8331769267941698	0.0	0.9787458001956364	0.9903103247848708		False	112.0	25.303571428571427	0.2099073285936472	0.9106410302568444	5997	2734	3294	12406	27512	33401	0.9483373826063732	15700	74174
TOBG_MED-649.fna	1.141713991086459	0.5339443153407505	0.0232355057792128	1361524	38	38	1	2.2599997454544	0.0019422780727799	0.0418046248174838	0.6351005541329273	0.0004304406606417	0.971801539056186	0.984152640640922		False	426.0	35.31220657276995	0.3936411782830114	0.9494622668311098	1605	902	1067	2084	9453	10674	0.9627667439243888	3151	24086
TOBG_MED-666.fna	1.9410838562604027	0.83824183869544	0.0075034761691448	1633593	62	62	2	1.512856014716033	0.0011881748904436	0.0550743055338752	0.8198520903205483	0.0	0.997765897142349	0.999233069168269		False	9.0	30.0	0.0381947356436548	0.4642281656252244	201	69	117	539	19368	19511	0.989338778101205	656	39644
TOBG_MED-667.fna	0.8470356461172884	0.5601344867447685	0.0078055706765025	1711098	89	89	1	0.972911385525635	0.0007476644242151	0.0034398964875185	0.5266558075496408	0.0	0.9974515800203874	0.9994903160040776		False					15	3	5	78	8850	8858	0.995252744516576	83	17859
TOBG_MED-673.fna	1.0144620881740738	0.610381629820519	0.0169545642239348	2353118	56	56	1	1.1335540624315774	0.0007407241224335	0.0088163874484832	0.5917069178504037	0.0	0.9865998264725728	0.9951315916321218		False					278	101	129	446	14518	14881	0.980098022689231	575	30550
TOBG_MED-712.fna	2.857083928793092	0.9163703955974702	0.0102511040682617	1570915	32	32	3	1.9895292570822	0.0015905986267811	0.1763106215167593	0.9197657749695528	0.0	0.9968155280915916	0.9988843516783468		False	152.0	26.07236842105263	0.2078063659513082	0.7909829549663449	882	309	794	2446	27403	28026	0.9823106677964708	3240	56940
