scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	consensus_divergent_sites	population_divergent_sites
TOBG_ARS-1012.fna_3730	24755	0.5410624116340134	0.2875782670167643	0.0196360985364578	0	1.108878075392696	0.0070479222334173	0.0218541708745707	0.3798278073813929	0.0			0.0	0.9759704251386322	0.9815157116451017	11	9	20	13	10
TOBG_ARS-1012.fna_395	40572	0.5333974169377896	0.1621808143547274	0.0211061942255843	0	2.2513798199901878	0.0111774030815749	0.0237602287291728	0.3756161273039405	0.0			0.0	0.9512448132780082	0.9688796680497924	32	33	65	47	30
TOBG_ARS-1012.fna_4200	90226	0.8724646997539511	0.408596191785073	0.0146077358571241	0	1.3555244511199949	0.0045127773865406	0.0244275486001817	0.5371657729250778	0.0			0.0	0.9791288566243194	0.9818511796733213	48	31	79	46	40
TOBG_ARS-1012.fna_4231	20893	1.247738477001867	0.4895898147704973	0.0254326257446583	0	2.2236045197842262	0.015383938658812	0.0546115923993682	0.6677119531380753	0.0			0.0	0.9553023663453112	0.9737072743207712	35	46	81	51	30
TOBG_ARS-1012.fna_4278	132419	0.7487218601560199	0.3182096224861991	0.0208117297945994	0	1.686110297826136	0.0046335352228428	0.0264539076718597	0.4837279390360089	0.0			0.0	0.9620325435341136	0.9760205538110192	79	124	203	133	84
TOBG_ARS-1012.fna_4281	54375	0.6491218390804597	0.2822988505747126	0.0164512261428241	0	1.845063475556708	0.0079125354781443	0.0231172413793103	0.4362670225929956	0.0			0.0	0.960222752585521	0.9785202863961814	27	39	66	50	27
TOBG_ARS-1012.fna_4598	14515	0.0208749569410954	0.0208749569410954		0	0.1429657060759776	0.0011866928183987	0.0	0.0182637458321849				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_4678	23433	0.5875901506422566	0.333162633892374	0.0301894057018371	0	1.117866435050037	0.0073027298811318	0.0160884223104169	0.4047906597827708	0.0			0.0	0.9787798408488064	0.9893899204244032	4	20	24	8	4
TOBG_ARS-1012.fna_5007	8897	0.2929077217039451	0.195346746094189	0.0658823543903874	0	0.7432346303650028	0.0078800423203797	0.0057322693042598	0.2278971544952674	0.0			0.0	0.9019607843137256	0.9607843137254902	2	5	7	5	2
TOBG_ARS-1012.fna_5373	18648	0.1929429429429429	0.0713213213213213	0.0222917516824557	0	1.085516345497032	0.0079493548158021	0.0105641355641355	0.1566461166514743	0.0			0.0	0.9746192893401016	0.9898477157360406	2	6	8	5	2
TOBG_ARS-1012.fna_5806	38740	0.4456633970056788	0.1709086215797625	0.0293134231334445	0	1.561711310093433	0.0079346276739338	0.0224574083634486	0.3253227020634923	0.0			0.0	0.9494252873563218	0.971264367816092	23	43	66	44	25
TOBG_ARS-1012.fna_5838	35429	0.5961782720370318	0.1875017640915634	0.0174020648963989	0	2.2812092205985848	0.0121196980601782	0.0279996612944198	0.4092872463774534	0.0			0.0	0.9506048387096774	0.964717741935484	35	30	65	49	35
TOBG_ARS-1012.fna_6251	19043	1.506170246284724	0.585254424197868	0.0293789964412974	1	2.75234142917514	0.0199455504778588	0.0561886257417423	0.7355090721377116	0.0			0.0	0.9635514018691588	0.9794392523364486	21	43	64	39	22
TOBG_ARS-1012.fna_6296	19255	0.7882108543235523	0.3093222539600104	0.0172978636588519	0	1.4717335632939694	0.0106064173100279	0.0410802388989872	0.5014194831497747	0.0			0.0	0.9696586599241468	0.9721871049304678	24	10	34	24	22
TOBG_ARS-1012.fna_6463	167457	1.1472736284538718	0.4637130726096848	0.0192286612830175	0	2.259215835679954	0.0055208680430833	0.0437963178607045	0.6368875139974024	0.0			0.0	0.9589582765203164	0.9701390782656122	225	192	417	301	219
TOBG_ARS-1012.fna_6590	78978	1.1563346754792474	0.4523031730355288	0.0268849304644572	0	2.2214697614322727	0.0079047855002046	0.0487097672769632	0.6397811510361254	0.0			0.0	0.955289836236028	0.9755653756173642	98	164	262	172	94
TOBG_ARS-1012.fna_6660	13101	0.4140141973895122	0.1382337226165941	0.0057082525971863	0	1.925217951956116	0.0168207073458071	0.0219830547286466	0.3062020757413506	0.0			0.0	0.9548611111111112	0.9548611111111112	15	2	17	13	13
TOBG_ARS-1012.fna_6971	22632	0.4477730646871686	0.2305585012371863	0.0132763270347837	0	1.089740301061055	0.0072438782113962	0.0139183457051961	0.3265783457095956	0.0			0.0	0.9396825396825396	0.9428571428571428	19	1	20	19	18
TOBG_ARS-1012.fna_7165	12066	0.0137576661694016	0.0137576661694016		0	0.1164834442784592	0.0010604752584602	0.0	0.0120745299261633				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_74224	8778	0.0251765778081567	0.0251765778081567		0	0.156661155804579	0.0016722002235263	0.0	0.021985632348087				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_74607	17752	0.2323681838666065	0.1633055430374042		0	0.6026119186239843	0.00452299705552	0.0	0.18550020803482				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_75131	7415	0.1505057316250843	0.1215104517869184		0	0.4545470582013949	0.00527901092204	0.0	0.1244443459956744				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_75219	13259	0.2784523719737536	0.0497775096161098	0.0075890231212782	0	1.4777417844663023	0.0128339264546121	0.0223998793272494	0.2179788122174814	0.0			0.0	0.936026936026936	0.936026936026936	17	5	22	19	19
TOBG_ARS-1012.fna_75241	26635	1.024779425567862	0.4885301295288154	0.0186827976338184	0	1.386811293335774	0.0084976565050655	0.025718040172705	0.5954096611370532	0.0			0.0	0.9708029197080292	0.9795620437956204	17	14	31	20	14
TOBG_ARS-1012.fna_75560	6105	0.0239148239148239	0.0239148239148239		0	0.1527838509527328	0.0019555556972843	0.0	0.0208953912623324				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_75606	6920	0.0471098265895953	0.0255780346820809		0	0.296570522209006	0.0035653840441769	0.0	0.040744654107432				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_75712	17826	0.1105127342084595	0.0779759901267811	0.0	0	0.4433769006688872	0.0033209190843853	0.0002804891731179	0.0929727128927776	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_ARS-1012.fna_7641	9149	0.1876707836922068	0.1549896163515138		0	0.489117472262407	0.0051138748914044	0.0	0.1527108845344115				0.0	0.0	0.0	0	0	0	0	0
TOBG_ARS-1012.fna_7719	64556	0.7896709833323007	0.3511989590433112	0.0291439830007179	0	1.4381099549239265	0.0056601396940559	0.0339859966540677	0.5020618857642716	0.0			0.0	0.9731084776663628	0.9895168641750228	25	91	116	59	23
TOBG_ARS-1012.fna_77437	19081	1.0458047272155548	0.5090928148419894	0.0227337566497729	1	1.5475274765669624	0.011203383012231	0.0381007284733504	0.6028517229236476	0.0			0.0	0.9628610729023384	0.9752407152682256	19	18	37	27	18
