genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
TOBG_ARS-1012.fna	0.8677734902061481	0.3294180513105822	0.022092626880187	3364764	121	115	0	2.2444699602633937	0.0012280158264268	0.0361618229391422	0.5352445807377585	0.0	0.9593839376705348	0.9724432098359578		False	756.0	23.77380952380953	0.2913987766159431	0.9688459664262544	4942	3353	3543	4141	18606	24583	0.9373782750100396	7684	58449
TOBG_ARS-86.fna	1.3616169774248328	0.6112295813455573	0.0223683129179448	2099918	76	76	1	1.640522577199056	0.0011362101318366	0.0537997197985825	0.6995000799507947	0.0	0.9623456516928524	0.9770568709891568		False					4254	2592	2604	3338	17572	22306	0.9474471624608404	5942	50653
TOBG_CPC-1232.fna	4.449793798946178	0.0956608495766855	0.0231371390368439	1764055	131	75	0	29.37830138317511	0.0222853796929994	0.0444011099427172	0.980339975625642	0.0199886203727236	0.9688864489441564	0.98093864106427		False	46315.0	67.70316312209867	0.161220609551554	0.8451046650685207	2437	1493	1496	4633	48254	52220	0.9427034415440436	6129	110131
TOBG_CPC-20.fna	6.634662410513475	0.879555704838276	0.0271404191713309	2506802	183	168	7	4.383418100599617	0.0027889886703786	0.6838406064778949	0.997144210405132	1.1159626368749003e-06	0.9878763519737168	0.9952749098295292		False	1512.0	20.755291005291006	0.2996583570913017	0.9506300661115544	20783	8100	7876	75402	107015	119595	0.9618113985627422	83278	254929
TOBG_CPC-27.fna	5.128291610217409	0.6113405308103553	0.0041363097715675	3496503	128	117	3	5.799965700477011	0.0031131801267942	0.4361497759332682	0.9892007813190128	3.4235904489703404e-05	0.955409151087968	0.9571114472861948		False	247.0	30.51417004048583	0.3430707180856014	0.8648448320083019	68001	65405	69543	8682	113509	133596	0.9444976554999752	78225	282353
TOBG_CPC-289.fna	15.70993350705783	0.7364906223243741	0.023080649150222	1073347	31	31	1	130.90245740365336	0.1267172907821304	0.0759847467780689	0.9999990548018858	0.0076922407032612	0.9683905931974792	0.9818779273645748		False	14173.0	72.11423128483737	0.168048043221015	0.8072525986237348	2578	1478	1562	3071	103187	125756	0.9568828167787238	4633	276369
TOBG_CPC-29.fna	1.2415825703795813	0.5827539159963411	0.0177125973136246	1356679	111	103	1	1.4793750212281314	0.001280626759002	0.033388885653865	0.6659008285755736	0.0	0.9601969181862332	0.9704622720649918		False					1803	1338	1423	888	10387	12122	0.9436036121344114	2311	25665
TOBG_CPC-296.fna	3.080041371894546	0.0294427880620641	0.0260299123089398	634247	42	6	0	31.278219075697965	0.0395374154994589	0.0206386470885948	0.9341039337112064	0.018681570067332	0.9605042016806724	0.9772345301757066		False	4734.0	65.28918462188425	0.3040545393470181	0.8942894419564948	517	298	273	777	11908	13314	0.9327650472935336	1050	31664
TOBG_CPC-30.fna	1.2098589044834631	0.5411190875933538	0.0231061616465777	1934576	87	86	1	2.574579869145497	0.0018594114055327	0.0337272870127614	0.6564097319153426	0.0030459895444705	0.959217140755272	0.974619911721432		False	2193.0	38.04012767897857	0.2596257188011271	0.9223581288987862	2661	1656	1767	2406	14383	18463	0.947050141412442	4173	45895
TOBG_CPC-300.fna	2.32122286871565	0.60987028008637	0.0103761289696134	2790782	188	186	1	8.486683363920276	0.0051147053195067	0.1179311031818321	0.8712187168559354	0.0011731812968058	0.9660822800194456	0.97132049100632		False	10249.0	61.86066933359352	0.1748993521365553	0.8283206140154588	11163	9439	10078	4707	39773	45251	0.9446125466098162	14785	95429
